,country,event,name,dist_km,year,finishers,duration
1255,FRA,107457,La SaintéLyon 82 km,82.0,2024,6249,0 days 05:49:37
1257,FRA,107459,La SaintExpress,45.0,2024,3494,0 days 03:08:54
699,ITA,103964,100 km del Passatore  Firenze-Faenza,100.0,2024,2669,0 days 07:10:55
137,FRA,99429,EcoTrail de Paris - Ile de France,80.0,2024,2270,0 days 05:47:21
970,FRA,104809,Grand Raid Réunion - La Diagonale des Fous,175.0,2024,2013,0 days 23:16:15.333333333
964,FRA,104803,Festival des Templiers - Le Grand Trail des Templiers,80.0,2021,1943,0 days 06:32:19
1184,FRA,106900,Nice Côte d'Azur by UTMB - 50K,54.0,2024,1834,0 days 05:30:25.666666666
250,FRA,100794,Ultra Trail Tour du Mont Blanc (UTMB),176.0,2024,1760,0 days 20:01:53.750000
136,FRA,99428,EcoTrail de Paris - Ile de France 45 km,45.0,2024,1745,0 days 03:05:06
262,FRA,100945,Trail Alsace Grand Est by UTMB - Trail des Celtes,50.0,2024,1701,0 days 03:40:49
254,ITA,100808,Courmayeur-Champex-Chamonix (CCC),101.0,2024,1636,0 days 10:12:46
267,FRA,100994,Maratrail du Saint-Jacques by UTMB,51.0,2024,1578,0 days 03:43:37
272,ITA,101003,Lavaredo Ultra Trail by UTMB - 50K,50.0,2024,1570,0 days 04:15:37.500000
3,ESP,82177,Val d'Aran by UTMB - Peades d'Aigua,55.0,2024,1539,0 days 05:36:27.250000
253,SUI,100807,Orsières-Champex-Chamonix (OCC),57.0,2024,1534,0 days 05:03:58.500000
1139,ITA,106482,50 km di Romagna,50.0,2025,1406,0 days 02:50:12.250000
554,GBR,103051,Lakeland 50 Mile,80.467,2024,1372,0 days 07:17:49
1238,ESP,107389,Penyagolosa Trail MiM,60.0,2024,1343,0 days 05:26:03.666666666
938,SWE,104737,Ultravasan90,90.0,2024,1298,0 days 06:22:36
671,FRA,103874,Trail de Minuit,56.0,2024,1290,0 days 06:30:56.250000
1290,FRA,107527,La Veni Vici - 47km,47.0,2024,1261,0 days 03:36:03
274,ITA,101005,Lavaredo Ultra Trail by UTMB - 120K,120.0,2024,1240,0 days 12:02:14.750000
327,FRA,101607,Raid 100 Golfe du Morbihan,100.0,2024,1237,0 days 07:58:19
969,FRA,104808,Grand Raid Réunion - La Mascareignes,70.0,2024,1231,0 days 08:40:41.500000
140,FRA,99436,Trail du Petit Ballon,52.0,2025,1172,0 days 04:22:24.833333333
255,ITA,100809,Sur les Traces des Ducs de Savoie (TDS),148.0,2024,1111,0 days 19:00:48.250000
315,FRA,101559,Trail Du Ventoux - Le 46 Origine,46.0,2025,1099,0 days 03:43:34.400000
965,FRA,104804,Festival des Templiers - Endurance Trail,100.0,2024,1068,0 days 09:36:51.500000
456,FRA,102417,Grand Raid Réunion - Trail de Bourbon,109.0,2023,1056,0 days 15:48:35.666666666
841,FRA,104388,La 6000D,69.0,2024,1052,0 days 06:12:09.250000
266,GBR,100953,Race to the Stones 100km Non-Stop,100.0,2024,1037,0 days 08:21:29.750000
328,FRA,101608,L'Ultra Marin Raid Golfe du Morbihan,175.0,2024,1019,0 days 15:32:29
354,FRA,101900,Grand Raid Ventoux by UTMB - 50K,47.0,2025,957,0 days 03:38:42
268,FRA,100995,Grand Trail du Saint-Jacques by UTMB,79.0,2024,942,0 days 07:16:57.500000
