event1,event2,ratio
Aros Marathon 50 km,Björnfrossa,0.6226292934693686
Aros Marathon 50 km,Black river run 100 miles,0.2647870154266289
Aros Marathon 50 km,Black river run 50 miles,0.5827975165954599
Aros Marathon 50 km,Ecotrail Stockholm 45 km,0.9358130441617467
Aros Marathon 50 km,Ecotrail Stockholm 80,0.5003540340923539
Aros Marathon 50 km,Fjällmaraton 100 km,0.3274194711370828
Aros Marathon 50 km,Fjällmaraton 45 km,0.8041288017743827
Aros Marathon 50 km,Gax 100 miles,0.25021743003545305
Aros Marathon 50 km,Gotland Run 511 km,0.042733283433133734
Aros Marathon 50 km,Gotland Ultra,0.9101054059298782
Aros Marathon 50 km,Gotrun enkle,0.5899766833048432
Aros Marathon 50 km,Hammarby Alpin Marathon,1.0112720680075573
Aros Marathon 50 km,Idre 45 km,0.8960143344449397
Aros Marathon 50 km,Jättelångt,0.6492226011451167
Aros Marathon 50 km,Kolmården Ultra Trail,0.7679025288264167
Aros Marathon 50 km,Kullamannen 100 km,0.370544862241286
Aros Marathon 50 km,Kullamannen 100 miles,0.22350983167763758
Aros Marathon 50 km,Kullamannen 50 km,0.827011201629328
Aros Marathon 50 km,Lejonbragden 100 km,0.9027765351465807
Aros Marathon 50 km,Lejonbragden 50 km,0.9235557212076034
Aros Marathon 50 km,Sandsjöbacka 60 km,0.6856052455345751
Aros Marathon 50 km,Sandsjöbacka 90 km,0.3550688117852297
Aros Marathon 50 km,Silverleden Ultra,0.6373987339577484
Aros Marathon 50 km,Sätila 85 km,0.5023232272946019
Aros Marathon 50 km,Sörmland Ultra Marathon,0.9354654419631632
Aros Marathon 50 km,Sörmlands100 100 km,0.38681087706633027
Aros Marathon 50 km,Sörmlands100 100 miles,0.19293823764550813
Aros Marathon 50 km,Sörmlands100 55 km,0.8055835414669484
Aros Marathon 50 km,TEC 100 miles,0.24031635587715722
Aros Marathon 50 km,TEC 200 miles,0.16533760090886251
Aros Marathon 50 km,TEC 46 km,1.041300107062862
Aros Marathon 50 km,TEC 50 miles,0.5412241111704404
Aros Marathon 50 km,Trans Scania,0.14259381736189697
Aros Marathon 50 km,UKA pain 50 km,0.8163799306600379
Aros Marathon 50 km,Ultravasan 90,0.47005438120673393
Aros Marathon 50 km,Ursvik Ultra 45 km,0.8763414584297093
Aros Marathon 50 km,Ursvik Ultra 75 km,0.495700332169832
Aros Marathon 50 km,VXO 100 km,0.5076032397056428
Aros Marathon 50 km,Österlen Spring Trail,0.8138657344072865
Aros Marathon 50 km,Östgöta ultra trail,0.7160929310572501
Björnfrossa,Aros Marathon 50 km,1.6071582091246541
Björnfrossa,Black river run 50 miles,0.9692521984749543
Björnfrossa,Ecotrail Stockholm 45 km,1.4263464376031052
Björnfrossa,Ecotrail Stockholm 80,0.808908674344201
Björnfrossa,Fjällmaraton 100 km,0.4893827467257237
Björnfrossa,Fjällmaraton 45 km,1.2404205522319005
Björnfrossa,Gax 100 miles,0.3340292773189025
Björnfrossa,Gotland Ultra,1.4682493434795207
Björnfrossa,Gotrun enkle,0.9043263225396527
Björnfrossa,Göteborg Trail,1.1791453231352185
Björnfrossa,Hammarby Alpin Marathon,1.570182095504282
Björnfrossa,Idre 45 km,1.3911359210868337
Björnfrossa,Jättelångt,0.9568324309562324
Björnfrossa,Kolmården Ultra Trail,1.291486950774608
Björnfrossa,Kullamannen 100 km,0.5444957335881957
Björnfrossa,Kullamannen 100 miles,0.30176519285791586
Björnfrossa,Kullamannen 50 km,1.3107043468035904
Björnfrossa,Peters Trail 104 km,0.5490423007927782
Björnfrossa,Sandsjöbacka 60 km,0.9742558366337528
Björnfrossa,Sandsjöbacka 90 km,0.5241562759767249
Björnfrossa,Silverleden Ultra,0.899370999656886
Björnfrossa,Sätila 85 km,0.7283938112481325
Björnfrossa,Sörmland Ultra Marathon,1.5475245880055297
Björnfrossa,Sörmlands100 100 km,0.6434698215713935
Björnfrossa,Sörmlands100 100 miles,0.2948788114414241
Björnfrossa,Sörmlands100 55 km,1.221735771310842
Björnfrossa,TEC 100 miles,0.3901781126905292
Björnfrossa,TEC 46 km,1.8016354788541615
Björnfrossa,TEC 50 miles,0.805696334008266
Björnfrossa,UKA pain 50 km,1.2449269105617449
Björnfrossa,Ultravasan 90,0.7617021703181468
Björnfrossa,Ursvik Ultra 45 km,1.4551739272139737
Björnfrossa,Ursvik Ultra 75 km,0.7692331193688782
Björnfrossa,Österlen Spring Trail,1.2769490357611284
Björnfrossa,Östgöta ultra trail,1.1105084440384054
Black river run 100 miles,Aros Marathon 50 km,3.856475466701499
Black river run 100 miles,Black river run 50 miles,1.8785406559313955
Black river run 100 miles,Borås 91 km,1.9650897533067215
Black river run 100 miles,Ecotrail Stockholm 45 km,4.260431223797165
Black river run 100 miles,Ecotrail Stockholm 80,2.1486800729574007
Black river run 100 miles,Fjällmaraton 100 km,1.302514323705233
Black river run 100 miles,Fjällmaraton 45 km,3.3527818010653743
Black river run 100 miles,Gax 100 miles,0.9135675055031207
Black river run 100 miles,Gotland Run 511 km,0.19042466312780726
Black river run 100 miles,Gotrun enkle,2.2695381175879397
Black river run 100 miles,Göteborg Trail,3.4979914934225462
Black river run 100 miles,Hammarby Alpin Marathon,4.262908612645077
Black river run 100 miles,Idre 45 km,3.5816512253154684
Black river run 100 miles,Jättelångt,2.6731731091106394
Black river run 100 miles,Kullamannen 100 km,1.508336981650292
Black river run 100 miles,Kullamannen 100 miles,0.8718212371008848
Black river run 100 miles,Kullamannen 50 km,3.044448089516848
Black river run 100 miles,Lejonbragden 100 km,1.9645132694332097
Black river run 100 miles,Lejonbragden 50 km,5.60645530666285
Black river run 100 miles,Sandsjöbacka 60 km,2.749920206498343
Black river run 100 miles,Sandsjöbacka 90 km,1.6092719220162017
Black river run 100 miles,Silverleden Ultra,2.577706037896492
Black river run 100 miles,Snapphaneracet,2.8941492801470337
Black river run 100 miles,Sätila 85 km,1.8347177531993335
Black river run 100 miles,Sörmland Ultra Marathon,3.883464830109173
Black river run 100 miles,Sörmlands100 100 km,1.7639824836067433
Black river run 100 miles,Sörmlands100 100 miles,0.8293844032493206
Black river run 100 miles,TEC 100 miles,0.9671672590376726
Black river run 100 miles,TEC 200 miles,0.40212023083775994
Black river run 100 miles,TEC 50 miles,2.172191640028567
Black river run 100 miles,Trail genom Skåne,4.346614165114379
Black river run 100 miles,Trans Scania,0.5428593448105036
Black river run 100 miles,UKA pain 50 km,2.370013121032661
Black river run 100 miles,UTMB,0.6183840314275096
Black river run 100 miles,Ultravasan 90,2.0974113993385326
Black river run 100 miles,Ursvik Ultra 75 km,2.0859757176406903
Black river run 100 miles,VXO 100 km,2.2569883479516153
Black river run 100 miles,Öland Ultra,4.539084294464107
Black river run 100 miles,Österlen Spring Trail,3.306511968830625
Black river run 100 miles,Östgöta ultra trail,2.960693843086327
Black river run 50 miles,Aros Marathon 50 km,1.7270186846018976
Black river run 50 miles,Björnfrossa,1.0396011510065604
Black river run 50 miles,Black river run 100 miles,0.6108224809889694
Black river run 50 miles,Ecotrail Stockholm 45 km,2.2381435401704146
Black river run 50 miles,Ecotrail Stockholm 80,0.8618225788928173
Black river run 50 miles,Fjällmaraton 100 km,0.8861234924245804
Black river run 50 miles,Fjällmaraton 45 km,1.4128810579727515
Black river run 50 miles,Gax 100 miles,0.4949163763049866
Black river run 50 miles,Gotland Ultra,1.9500595975487858
Black river run 50 miles,Gotrun enkle,1.0813161945875458
Black river run 50 miles,Hammarby Alpin Marathon,1.8508339314793159
Black river run 50 miles,Idre 45 km,1.4719572928064983
Black river run 50 miles,Jättelångt,1.139056547644477
Black river run 50 miles,Kolmården Ultra Trail,1.4150319941256688
Black river run 50 miles,Kullamannen 100 km,0.6620784544226382
Black river run 50 miles,Kullamannen 100 miles,0.3702062287818198
Black river run 50 miles,Kullamannen 50 km,1.8817991783801062
Black river run 50 miles,Lejonbragden 100 km,1.511154559436093
Black river run 50 miles,Sandsjöbacka 60 km,1.3726871372198233
Black river run 50 miles,Sandsjöbacka 90 km,0.5996697662292517
Black river run 50 miles,Silverleden Ultra,1.1771323943510723
Black river run 50 miles,Snapphaneracet,2.772574112521698
Black river run 50 miles,Sätila 85 km,0.7731119629611192
Black river run 50 miles,Sörmland Ultra Marathon,1.710899743055164
Black river run 50 miles,Sörmlands100 100 miles,0.4625138938951411
Black river run 50 miles,TEC 100 miles,0.5435149144817988
Black river run 50 miles,TEC 200 miles,0.2544651147548147
Black river run 50 miles,TEC 50 miles,1.0430390426323066
Black river run 50 miles,Trans Scania,0.235145606732577
Black river run 50 miles,UKA pain 50 km,1.327278763759266
Black river run 50 miles,Ultravasan 90,0.8586752870194809
Black river run 50 miles,Ursvik Ultra 45 km,1.7138090269783353
Black river run 50 miles,Ursvik Ultra 75 km,0.8924207983653923
Black river run 50 miles,VXO 100 km,0.8679051854575099
Black river run 50 miles,Öland Ultra,3.9138847117794486
Black river run 50 miles,Österlen Spring Trail,1.8282383957398076
Black river run 50 miles,Östgöta ultra trail,1.1851607801792303
Borås 50 km,Borås 91 km,0.48766674778222685
Borås 50 km,Ecotrail Stockholm 80,0.5273275324569174
Borås 50 km,Gotrun enkle,0.6307729336383427
Borås 50 km,Göteborg Trail,0.8397390225123779
Borås 50 km,Idre 45 km,1.071297789984612
Borås 50 km,Kullamannen 100 km,0.3937156247372474
Borås 50 km,Kullamannen 100 miles,0.2079432156315862
Borås 50 km,Kullamannen 50 km,0.9483338298506192
Borås 50 km,Sandsjöbacka 60 km,0.7525311950648194
Borås 50 km,Silverleden Ultra,0.6921181398950963
Borås 50 km,Snapphaneracet,0.8510593664778687
Borås 50 km,Sätila 85 km,0.5594937860319437
Borås 50 km,Sörmland Ultra Marathon,1.1812455003599713
Borås 50 km,Sörmlands100 100 km,0.4531999003922057
Borås 50 km,Sörmlands100 100 miles,0.20429421938871095
Borås 50 km,Sörmlands100 55 km,0.9491942148760331
Borås 50 km,Trail genom Skåne,1.1101738241308794
Borås 50 km,UKA pain 50 km,0.859750883664587
Borås 50 km,Ultravasan 90,0.5360611429237216
Borås 50 km,Österlen Spring Trail,0.9561817176028632
Borås 91 km,Black river run 100 miles,0.5104702555774532
Borås 91 km,Borås 50 km,2.050580656868082
Borås 91 km,Ecotrail Stockholm 45 km,2.3130552067345707
Borås 91 km,Ecotrail Stockholm 80,1.284028710110503
Borås 91 km,Fjällmaraton 100 km,0.8112718872318576
