event1,event2,ratio_winner,ratio_median,ratio_avg
Aros Marathon 50 km,Björnfrossa,0.6304211265350363,0.6212102910979587,0.6226292934693686
Aros Marathon 50 km,Black river run 100 miles,0.22941898930495666,0.2380291207316283,0.2647870154266289
Aros Marathon 50 km,Black river run 50 miles,0.4736135915681938,0.504336001725902,0.5827975165954599
Aros Marathon 50 km,Borås 50 km,0.7793817572712045,0.8224413646055437,
Aros Marathon 50 km,Borås 91 km,0.3787219558396969,0.44433245017855083,
Aros Marathon 50 km,Ecotrail Stockholm 45 km,0.9514797739440809,0.8886290726672695,0.9358130441617467
Aros Marathon 50 km,Ecotrail Stockholm 80,0.5142059154476772,0.5208066105882829,0.5003540340923539
Aros Marathon 50 km,Fjällmaraton 100 km,0.36801196459515234,0.34899186160659756,0.3274194711370828
Aros Marathon 50 km,Fjällmaraton 45 km,0.98996150944856,0.8308606939186534,0.8041288017743827
Aros Marathon 50 km,Gax 100 miles,0.21640522599467252,0.21848104062056603,0.25021743003545305
Aros Marathon 50 km,Gotland Run 511 km,0.027946315467610186,0.03643589888914078,0.042733283433133734
Aros Marathon 50 km,Gotland Ultra,0.9202251029324512,0.8796214475071976,0.9101054059298782
Aros Marathon 50 km,Gotrun enkle,0.564051135111307,0.5779279397387731,0.5899766833048432
Aros Marathon 50 km,Göteborg Trail,0.7187473669428451,0.7597648171128051,
Aros Marathon 50 km,Hammarby Alpin Marathon,1.0387644098067867,1.0260280895887641,1.0112720680075573
Aros Marathon 50 km,Idre 45 km,1.054668342640483,0.8699501000817569,0.8960143344449397
Aros Marathon 50 km,Jättelångt,0.5926860901384965,0.6260041871561419,0.6492226011451167
Aros Marathon 50 km,Kolmården Ultra Trail,0.6988639466928833,0.7092749572476693,0.7679025288264167
Aros Marathon 50 km,Kullamannen 100 km,0.3839465886500881,0.34327554598366056,0.370544862241286
Aros Marathon 50 km,Kullamannen 100 miles,0.2340465422552279,0.20829114590505196,0.22350983167763758
Aros Marathon 50 km,Kullamannen 50 km,0.9011232789886968,0.7607312960388132,0.827011201629328
Aros Marathon 50 km,Lejonbragden 100 km,0.4879929317964962,0.5283493975401758,0.9027765351465807
Aros Marathon 50 km,Lejonbragden 50 km,0.8904521098095736,0.9335820895673027,0.9235557212076034
Aros Marathon 50 km,Peters Trail 104 km,0.36733844343008065,0.37201261501070537,
Aros Marathon 50 km,Peters Trail 52 km,0.7608217386133904,0.7346443195886107,
Aros Marathon 50 km,Sandsjöbacka 60 km,0.7187372737357992,0.6539956510497247,0.6856052455345751
Aros Marathon 50 km,Sandsjöbacka 90 km,0.38234898626944164,0.3764116351180906,0.3550688117852297
Aros Marathon 50 km,Silverleden Ultra,0.6692994730028377,0.5642100182109397,0.6373987339577484
Aros Marathon 50 km,Snapphaneracet,0.6949260702502342,0.7502406955371643,
Aros Marathon 50 km,Sätila 85 km,0.45934036347318824,0.4652277743604588,0.5023232272946019
Aros Marathon 50 km,Sörmland Ultra Marathon,0.978978978978979,0.9541035915701989,0.9354654419631632
Aros Marathon 50 km,Sörmlands100 100 km,0.4149353597416004,0.3861678057557488,0.38681087706633027
Aros Marathon 50 km,Sörmlands100 100 miles,0.18250953282221416,0.19863141849927138,0.19293823764550813
Aros Marathon 50 km,Sörmlands100 55 km,0.8554857257471418,0.7394963621897797,0.8055835414669484
Aros Marathon 50 km,TEC 100 miles,0.2109748818619805,0.22256181647600792,0.24031635587715722
Aros Marathon 50 km,TEC 200 miles,0.07094920542226103,0.10650777287933677,0.16533760090886251
Aros Marathon 50 km,TEC 46 km,0.9416210408571766,0.949019057882228,1.041300107062862
Aros Marathon 50 km,TEC 50 miles,0.5100287789284035,0.49356374198666686,0.5412241111704404
Aros Marathon 50 km,Trail genom Skåne,0.8437798806422896,0.8980425710244635,
Aros Marathon 50 km,Trans Scania,0.10833086398848579,0.12068803679541934,0.14259381736189697
Aros Marathon 50 km,UKA pain 50 km,0.8674327164260051,0.7344030387121648,0.8163799306600379
Aros Marathon 50 km,UTMB,0.1774349551923177,0.16954143925067278,
Aros Marathon 50 km,Ultravasan 90,0.5573924028576407,0.566260019378138,0.47005438120673393
Aros Marathon 50 km,Ursvik Ultra 45 km,0.8378039198933959,0.8897239735780323,0.8763414584297093
Aros Marathon 50 km,Ursvik Ultra 75 km,0.5167671845269854,0.5365638215001113,0.495700332169832
Aros Marathon 50 km,VXO 100 km,0.6331793814537432,0.6451329653788259,0.5076032397056428
Aros Marathon 50 km,Öland Ultra,0.9696131550032205,0.9998444729577355,
Aros Marathon 50 km,Österlen Spring Trail,0.8027793462576072,0.7341828771555826,0.8138657344072865
Aros Marathon 50 km,Östgöta ultra trail,0.651975083754761,0.679853357186291,0.7160929310572501
Björnfrossa,Aros Marathon 50 km,1.5862412566918058,1.6097608399766674,1.6071582091246541
Björnfrossa,Black river run 100 miles,0.3639138659040584,0.3831699573278535,
Björnfrossa,Black river run 50 miles,0.7512654186754514,0.8118603457687619,0.9692521984749543
Björnfrossa,Borås 50 km,1.2362874980965433,1.3239339019189766,
Björnfrossa,Borås 91 km,0.6007443911679394,0.7152689782283147,
Björnfrossa,Ecotrail Stockholm 45 km,1.5092764723378942,1.4304802824445506,1.4263464376031052
Björnfrossa,Ecotrail Stockholm 80,0.8156546375180839,0.8383740869259955,0.808908674344201
Björnfrossa,Fjällmaraton 100 km,0.5837557611970348,0.5617934322848573,0.4893827467257237
Björnfrossa,Fjällmaraton 45 km,1.5703177888242006,1.337487008546088,1.2404205522319005
Björnfrossa,Gax 100 miles,0.34327089763646357,0.35170222346833874,0.3340292773189025
Björnfrossa,Gotland Run 511 km,0.04432959856724763,0.05865308320108819,
Björnfrossa,Gotland Ultra,1.4596990237149177,1.4159801602006785,1.4682493434795207
Björnfrossa,Gotrun enkle,0.8947211813973992,0.9303257657198722,0.9043263225396527
